School Name,Acceptance Rate,Enrollment Size,Endowment,Avg GPA,Distance,Count
Saint Michael's,0.878,1600,77.7,3.60,221,4
Bard's College,0.57,2051,267.0,3.79,143,74
Colby College,0.103,2000,1258.0,3.98,184,23
NYU,0.211,26733,5300.0,3.59,213,6
University of Chicago,0.073,7559,11600.0,4.00,975,82
Loyola Marymount,0.501,6999,642.6,3.81,3002,81
Stanford,0.052,7858,36300.0,3.94,3129,5
Tulane,0.111,8610,1920.0,3.56,1530,144
Brown,0.077,7160,6900.0,4.09,51,5
Harvard,0.05,5222,50900.0,4.18,5,13
Brandeis,0.334,3591,1070.0,3.83,15,52
Sarah Lawrence,0.546,1377,110.2,3.68,197,6
WPI,0.59,4177,505.5,3.89,49,42
Rhodes College,0.514,1840,431.7,3.92,1309,34
UVM,0.64,10700,731.0,3.61,216,34
Emmanuel,0.755,2198,188.0,3.60,3,62
Indiana University,0.673,34253,3318.0,3.72,998,34
Quinnipiac,0.824,6841,545.1,3.40,129,49
Providence,0.539,4128,234.2,3.45,51,11
Fordham,0.525,9904,1000.0,3.64,202,53
Lesley,0.838,2707,186.2,3.24,4,92
Union,0.575,2200,474.5,3.40,1234,20
Xavier,0.812,4860,259.3,3.52,879,55
Bryant,0.758,3751,183.8,3.39,52,59
Clarkson,0.78,2852,197.5,3.70,331,117
Loyola Maryland,0.802,4068,239.2,3.42,404,9
University of Denver,0.607,5774,772.1,3.67,1976,17
University of Richmond,0.31,3202,3300.0,3.92,557,32
Univeristy of South Carolina,0.684,26864,989.0,3.76,926,68
Case Western,0.303,5792,2350.0,3.92,638,170
Wheaton,0.771,1669,266.8,3.42,41,58
Nova Southeastern,0.762,5666,185.0,4.00,1301,15
Adelphi,0.746,5251,187.2,3.52,214,11
Ithaca,0.757,5852,337.2,3.63,333,66
Pace,0.829,9000,193.8,3.40,215,55
Pitzer,0.166,1067,144.3,3.94,2949,43
Washington Univeristy,0.16,7803,13700.0,3.65,1198,48
Stonehill,0.69,2500,218.8,3.40,26,203
Rice,0.109,4240,8100.0,4.18,1853,36
Boston University,0.201,16530,3400.0,3.71,3,52
Loyola Chicago,0.705,12240,1072.0,3.68,992,49
Vanderbilt,0.116,7111,10900.0,3.80,1105,16
Rensselaer PI,0.53,6203,1060.0,3.78,167,60
Stevens Insitute of Technology,0.531,4064,273.0,3.86,216,46
Hofstra,0.691,6120,712.5,3.64,222,117
University of San Fransisco,0.703,6577,430.1,3.54,3098,84
Dickinson,0.48,2420,645.5,3.74,409,30
Scranton,0.83,3910,218.1,3.49,292,80
Babson,0.27,2457,448.1,3.60,18,75
University of Delaware,0.7,18221,1450.0,3.71,348,66
Hamilton,0.184,1850,1470.0,4.00,276,60
Catholic Univeristy,0.822,3055,276.1,3.46,438,118
University of Miami,0.331,12089,1390.0,3.50,1505,24
William & Mary,0.422,6543,1300.0,4.24,601,33
